DATE,SCRIP CODE,DELIVERY QTY,DELIVERY VAL,DAY'S VOLUME,DAY'S TURNOVER,DELV. PER.,SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,Date
4022026,524804,18507,22424932,50623,60930738,36.56,524804,AUROBINDO PHARMA LTD.,A,STK,1226.15,1238.6,1166.9,1211.7,1209.0,1226.15,5217,50623,60930738,,2026-02-04
4022026,524808,956,26013,1138,31614,84.01,524808,PHYTO CHEM (INDIA) LTD.,X,STK,27.51,28.39,26.7,27.21,26.7,25.93,19,1138,31614,,2026-02-04
4022026,524816,18349,15441601,41486,35333010,44.23,524816,NATCO PHARMA LTD.,A,STK,865.55,865.55,838.3,841.55,841.55,853.4,1962,41486,35333010,,2026-02-04
4022026,524818,7304,864064,8495,1011856,85.98,524818,DYNAMIC INDUSTRIES LTD.,X,STK,127.9,127.9,115.05,118.3,118.45,122.5,73,8495,1011856,,2026-02-04
4022026,524820,1442,432384,1808,537701,79.76,524820,PANAMA PETROCHEM LTD.,B,STK,304.65,304.65,293.4,299.85,299.85,304.7,54,1808,537701,,2026-02-04
4022026,524824,260,18211,260,18074,100.0,524824,BAL PHARMA LTD.,B,STK,68.85,70.06,68.85,70.04,70.04,68.85,17,260,18074,,2026-02-04
4022026,524828,285,106106,444,165302,64.19,524828,BDH INDUSTRIES LTD.,X,STK,394.45,394.45,365.0,372.3,372.3,366.1,37,444,165302,,2026-02-04
4022026,526001,6676,143534,6676,143534,100.0,526001,JAUSS POLYMERS LTD.,XT,STK,21.5,21.5,21.5,21.5,21.5,20.48,10,6676,143534,,2026-02-04
4022026,526025,11199,143236,14315,183137,78.23,526025,GLOBUS CONSTRUCTORS & DEVELOPE,X,STK,13.5,13.5,12.47,12.79,12.79,13.31,74,14315,183137,,2026-02-04
4022026,526027,17827,2079520,27238,3245170,65.45,526027,CUBEX TUBINGS LTD.,B,STK,122.85,124.5,115.15,116.65,116.65,121.0,555,27238,3245170,,2026-02-04
4022026,526043,486,23708,493,24039,98.58,526043,POLYMECHPLAST MACHINES LTD.,X,STK,50.0,50.0,48.65,48.78,48.75,48.38,16,493,24039,,2026-02-04
4022026,526071,5528,3734010,5528,3734010,100.0,526071,STELLANT SECURITIES (INDIA) LT,XT,STK,682.5,683.8,670.0,670.8,670.0,678.85,221,5528,3734010,,2026-02-04
4022026,526073,1417,714452,2043,1014299,69.36,526073,GALAXY BEARINGS LTD.,X,STK,488.95,510.0,482.2,504.2,505.0,472.85,117,2043,1014299,,2026-02-04
4022026,526075,2010,33828,2010,33828,100.0,526075,REKVINA LABORATORIES LTD.,XT,STK,16.83,16.83,16.83,16.83,16.83,16.03,8,2010,33828,,2026-02-04
4022026,526081,1250,37787,1250,37787,100.0,526081,SC Agrotech Limited,XT,STK,30.23,30.23,30.23,30.23,30.23,30.84,4,1250,37787,,2026-02-04
4022026,526095,270,12960,270,13350,100.0,526095,RAVILEELA GRANITES LTD.,X,STK,51.0,51.0,48.0,48.0,48.0,51.0,11,270,13350,,2026-02-04
4022026,526113,886,12325,886,12324,100.0,526113,UNIROYAL MARINE EXPORTS LTD.,X,STK,13.91,13.91,13.91,13.91,13.91,13.25,10,886,12324,,2026-02-04
4022026,526115,718,8250,718,8250,100.0,526115,KARAN WOO-SIN LTD.,X,STK,12.07,12.07,11.49,11.49,11.49,11.5,5,718,8250,,2026-02-04
4022026,526117,148,58394,200,80428,74.0,526117,SHERVANI INDUSTRIAL SYNDICATE,X,STK,440.0,440.0,394.55,394.55,394.55,393.95,18,200,80428,,2026-02-04
4022026,526125,335,106949,358,113022,93.58,526125,BN AGROCHEM LIMITED,B,STK,312.05,319.9,311.75,319.25,319.9,311.75,24,358,113022,,2026-02-04
4022026,526133,819,5078,819,5071,100.0,526133,SUPERTEX INDUSTRIES LTD.,X,STK,6.2,6.2,6.0,6.2,6.2,6.2,10,819,5071,,2026-02-04
4022026,526137,2331,267832,4400,503482,52.98,526137,SHETRON LTD.,X,STK,116.65,117.85,110.0,114.9,113.6,124.45,89,4400,503482,,2026-02-04
4022026,526139,284324,560119,477465,923602,59.55,526139,TRANSGENE BIOTEK LTD.,X,STK,1.83,2.3,1.83,1.97,2.07,2.08,313,477465,923602,,2026-02-04
