SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
539593,"Shivansh Finserv Limited",X,STK,9.16,9.16,9.16,9.16,9.16,8.73,37,123172,1128255,
539594,"Mishtann Foods Limited",X,STK,4.75,4.84,4.7,4.74,4.74,4.8,2859,1570096,7457905,
539596,"Delta Industrial Resources Lim",X,STK,14.3,14.3,13.39,13.39,13.39,14.45,16,1191,16135,
539598,"CREDENT GLOBAL FINANCE LIMITED",X,STK,32.5,33.37,32.48,32.55,32.55,32.43,29,1864,61041,
539607,"Blue Cloud Softech Solutions L",B,STK,21.7,22.1,20.43,20.61,20.61,21.38,6080,3143349,66661237,
539620,"KANORIA ENERGY & INFRASTRUCTUR",X,STK,19.3,19.69,18.91,19.35,19.35,19.52,31,1967,38075,
539621,"BCL Enterprises Limited",X,STK,0.53,0.54,0.53,0.53,0.53,0.52,41,44910,23854,
539636,"Precision Camshafts Limited",B,STK,175.05,178.05,173.15,175.1,175.3,176.9,163,5481,960626,
539658,"TeamLease Services Limited",A,STK,1675.7,1683.2,1642.1,1648.85,1643,1675.65,150,1306,2170262,
539659,"VIKRAM KAMATS HOSPITALITY LIMI",B,STK,57.12,58.93,57.12,57.96,58,59.55,50,4475,258672,
539660,"BEST AGROLIFE LIMITED",B,STK,386.75,407,374.6,401.3,401.3,389.15,3021,57632,22556411,
539661,"ACE MEN ENGG WORKS LIMITED",XT,STK,98.2,98.2,95.05,96.5,96.5,96.5,52,5478,531679,
539662,"BFL Asset Finvest Limited",X,STK,12.08,12.08,11.65,11.75,11.91,11.8,41,7553,89155,
539669,"RGF Capital Markets Limited",XT,STK,0.67,0.67,0.64,0.65,0.65,0.67,31,710065,461302,
539673,"Radhagobind Commercial Limited",Z,STK,1.73,1.91,1.73,1.73,1.73,1.82,12,3267,5734,
539678,"Quick Heal Technologies Limite",B,STK,300.6,308.75,297.7,307.5,306,302,235,5726,1743916,
539679,"Kapil Raj Finance Ltd.",X,STK,3.21,3.26,3.11,3.26,3.26,3.11,147,129344,418591,
539682,"Mobavenue AI Tech Limited",B,STK,1240,1240,1175,1180,1178,1229.8,509,21549,25755814,
539686,"K.P. Energy Limited",A,STK,384,384.5,378.5,382.25,382.95,382.05,295,12174,4643715,
539692,"INTERACTIVE FINANCIAL SERVICES",X,STK,18.51,18.51,16.33,18.36,18.36,18.6,26,3578,61762,
539697,"HILIKS TECHNOLOGIES LIMITED",XT,STK,52.75,52.75,50,51.74,51.8,51.26,35,2803,143247,
539724,"HYPERSOFT TECHNOLOGIES LIMITED",XT,STK,84.58,84.58,84.58,84.58,84.58,86.3,11,177,14970,
